circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Double,No_Kink,8062,314081
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Double,Yes_Kink,8358,314154
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Proj,No_Kink,7128,3182021
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,SA,1,Proj,Yes_Kink,7128,3177456
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Single,No_Kink,8664,311975
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Single,Yes_Kink,8664,314130
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Proj,No_Kink,7131,3512522
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,1,random,0,Proj,Yes_Kink,7131,3473473
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Double,No_Kink,8062,305576
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Double,Yes_Kink,8358,307133
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Single,No_Kink,8664,303913
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Double,No_Kink,8062,285134
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Single,Yes_Kink,8664,307761
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Double,Yes_Kink,8062,281251
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Proj,No_Kink,7132,3316782
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.001,Proj,Yes_Kink,7130,3227245
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Single,No_Kink,8664,283293
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Single,Yes_Kink,8664,294193
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Double,No_Kink,8062,352721
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Double,Yes_Kink,8062,349708
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Proj,No_Kink,7129,3428790
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Single,No_Kink,8664,353350
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.01,Proj,Yes_Kink,7132,3330256
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,random,0,Single,Yes_Kink,8664,363285
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Double,No_Kink,4054,321596
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Double,No_MSF,4053,174569
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Double,No_Top,4054,193761
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Double,Yes_Kink,4054,319406
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Proj,No_MSF,3564,16760
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Proj,No_Kink,7132,3259101
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Proj,No_Top,3564,35928
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,0.1,Proj,Yes_Kink,7131,3179585
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Single,No_Kink,4360,318169
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Single,No_MSF,4359,188327
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Proj,Yes_Kink,7128,2985120
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.001,Single,No_Top,4360,207499
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Double,No_MSF,4053,174569
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Double,No_Top,4054,193761
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Double,No_Kink,4054,305210
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Proj,No_MSF,3564,16760
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Double,Yes_Kink,4056,306617
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Proj,No_Top,3564,35928
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Single,No_Kink,4360,302599
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Single,No_MSF,4359,188327
result_SELECT_100_Heisenberg1D_OBC_1_0_0,outer,2,SA,1,Proj,No_Kink,7128,3063153
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.01,Single,No_Top,4360,207499
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.1,Double,No_MSF,4053,174569
result_SELECT_100_Heisenberg1D_OBC_1_0_1,inner,1,SA,0.1,Double,No_Top,4054,193761
